,year,month,day,time (UT sec of day),lat,lon,alt(m),reduced chi^2,P(dBW),mask
1,2024,9,11,66623.010229983,29.94100429,-95.65341188,105098.31,4.22,-7.1,9097
2,2024,9,11,66629.216969567,28.08908828,-95.86863371,66697.93,10.94,-2.5,5537
6,2024,9,11,66753.501155523,32.93055861,-96.64856156,566644.21,14.61,7.9,8873
9,2024,9,11,66883.8872534,29.9147312,-95.36583287,32393.42,47.51,-11.1,13216
14,2024,9,11,66933.877776216,29.71998319,-94.84799882,135423.85,9.88,-3.5,13577
16,2024,9,11,67084.909106198,30.006788,-95.19869092,37994.3,2.27,-8.3,14208
19,2024,9,11,67109.708678095,29.99758076,-95.97741943,61511.51,1.6,-12.3,9097
20,2024,9,11,67113.435121304,28.31490415,-95.84496098,83899.42,36.23,-0.2,8873
21,2024,9,11,67119.720394468,26.01291507,-94.16792852,227307.09,42.34,4.8,13216
23,2024,9,11,67120.469319583,28.87620822,-95.04101309,187949.12,38.48,-2.7,13577
24,2024,9,11,67120.72317704,29.03984135,-95.82362501,60220.09,38.37,-9.5,12712
26,2024,9,11,67121.034799018,35.92346247,-98.52100238,783548.97,23.41,15.4,12712
29,2024,9,11,67126.726419674,30.37006074,-94.61283503,98484.69,39.62,-5.9,5537
35,2024,9,11,67178.462048939,29.29341047,-95.68346676,65506.51,29.49,-6.5,14208
